Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1416.684663937,30.115316787196,99.074036876529,20.523575499432
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1393.9814011404,29.567442514255,98.841035406445,20.345246797646
2011-10-31,1207.22,25.596666666667,86.97,226.421,2.15,1371.0006738774,29.069305718109,98.769013607395,20.155824786689
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1330.3876755594,28.537126171829,98.576617729374,19.698114568878
2011-08-31,1185.31,24.9,85.943333333333,226.545,2.3,1345.3813948222,28.262645831954,97.549638217573,20.04985272166
2011-07-31,1325.19,24.62,84.906666666667,225.922,3.0,1508.2994635759,28.02189330831,96.638730889422,22.610981701157
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1466.4607938526,27.727750330052,95.543402636872,22.100831286611
2011-05-31,1338.31,24.036666666667,83.016666666667,225.964,3.17,1522.9492091218,27.352872271689,94.470015798977,23.059491506095
2011-04-30,1331.51,23.733333333333,82.163333333333,224.906,3.46,1522.3388877576,27.134738957609,93.938789405352,23.143929447286
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1501.0505090685,26.960431607351,93.561788049242,22.899336430144
2011-02-28,1321.12,23.196666666667,79.99,221.309,3.58,1535.0097631818,26.952214641067,92.940407349001,23.489828703299
2011-01-31,1282.62,22.963333333333,78.67,220.223,3.39,1497.6256984057,26.812678830095,91.857458712305,22.978299430555
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1456.5527841171,26.666649040282,90.746383777643,22.396379773044
2010-11-30,1198.89,22.603333333333,75.52,218.803,2.76,1408.9449217332,26.563614438559,88.751695726293,21.700723827761
2010-10-31,1171.58,22.476666666667,73.69,218.711,2.54,1377.4291627764,26.425866051547,86.63749381604,21.240127651759
2010-09-30,1122.08,22.35,71.86,218.439,2.65,1320.8746108525,26.3096637963,84.59116064439,20.381395233204
2010-08-31,1087.28,22.246666666667,70.273333333333,218.312,2.7,1280.6537978673,26.203257814504,82.771513521932,19.770299174359
2010-07-31,1079.8,22.143333333333,68.686666666667,218.011,3.01,1273.5994614951,26.117556407704,81.014356064602,19.668660470718
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1278.0680707453,26.001163306035,79.159621498864,19.742039853739
2010-05-31,1125.06,21.993333333333,65.043333333333,218.178,3.42,1325.9668863955,25.920779088634,76.658405934604,20.480068638423
2010-04-30,1197.32,21.946666666667,62.986666666667,218.009,3.85,1412.2245754992,25.88583003454,74.292017668995,21.804845599625
2010-03-31,1152.05,21.9,60.93,217.631,3.73,1361.1892834661,25.875652365702,71.99102733526,21.004601209715
2010-02-28,1089.16,22.07,57.61,216.741,3.69,1292.1667485155,26.183591152574,68.347833543261,19.9205393066
2010-01-31,1123.58,22.24,54.29,216.687,3.73,1333.3344299381,26.391852579989,64.425075385233,20.527859801454
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1322.1733039745,26.684471750274,60.691991303502,20.322376500217
